iter	Passed	Remaining
400	22047	5443
401	22089	5384
402	22140	5329
403	22209	5277
404	22258	5221
405	22305	5164
406	22358	5109
407	22407	5052
408	22452	4995
409	22514	4942
410	22575	4888
411	22642	4836
412	22690	4779
413	22735	4722
414	22776	4665
415	22831	4610
416	22885	4555
417	22931	4498
418	22975	4441
419	23028	4386
420	23079	4330
421	23154	4279
422	23198	4222
423	23252	4167
424	23299	4111
425	23347	4055
426	23400	4000
427	23443	3943
428	23501	3889
429	23560	3835
430	23609	3779
431	23658	3724
432	23728	3671
433	23775	3615
434	23815	3558
435	23863	3502
436	23928	3449
437	23974	3393
438	24022	3337
439	24071	3282
440	24136	3229
441	24186	3173
442	24243	3119
443	24292	3063
444	24348	3009
445	24397	2953
446	24453	2899
447	24523	2846
448	24566	2790
449	24621	2735
450	24671	2680
451	24750	2628
452	24809	2574
453	24853	2518
454	24894	2462
455	24941	2406
456	24994	2351
457	25043	2296
458	25093	2241
459	25139	2186
460	25182	2130
461	25244	2076
462	25299	2021
463	25350	1966
464	25442	1915
465	25490	1859
466	25545	1805
467	25596	1750
468	25679	1697
469	25726	1642
470	25775	1587
471	25822	1531
472	25873	1476
473	25944	1423
474	25992	1368
475	26043	1313
476	26104	1258
477	26153	1203
478	26206	1148
479	26269	1094
480	26315	1039
481	26403	986
482	26455	931
483	26498	875
484	26560	821
485	26628	767
486	26672	712
487	26718	657
488	26762	602
489	26810	547
490	26907	493
491	26957	438
492	27023	383
493	27075	328
494	27118	273
495	27197	219
496	27253	164
497	27312	109
498	27363	54
499	27408	0
